"a11" "a12" "a21" "a22" "f1_1" "f1_2" "Q11" "Q12" "Q21" "Q22" "f_1" "f_2" "b_1" "b_2" "mu0" "theta"
-0.104982841181616 0.00107002245260198 0.000982775807504455 -0.102898009109198 108.705819866902 195.197717062116 1.14211364167601e-06 9.95896226215948e-08 9.73721001318479e-08 1.03996067414109e-06 105.658861514561 197.88608537457 0.924263308206283 2.19352572478417 9.51422858455154e-05 0.082887287014043
-0.098393593977721 0.00103373525440441 0.00118774627383239 -0.0968643126748018 107.438770347657 196.512011345305 1.03729963012721e-06 9.54956791702022e-08 1.00378247668579e-07 1.00454538321561e-06 103.327803942972 197.233920098521 0.961270568431807 1.91541188175493 0.000103107229033688 0.0798590627167691
-0.0949221207132095 0.000903647201799147 0.00108722117810161 -0.0940185436039599 103.543486295865 200.519316461195 1.0944566330708e-06 9.72095562477193e-08 1.03864182693051e-07 1.0729052792781e-06 100.321088956949 202.945992472895 1.13126538027307 1.9646408632281 0.000102807829062668 0.0828046500482324
-0.0944429404753894 0.000902075096951595 0.00114024814880671 -0.0933823433904793 103.54453298741 198.930679044261 1.05746099894155e-06 1.07348988194957e-07 1.00307412025553e-07 1.04168015602605e-06 97.6432470433155 202.330148740811 0.978605063312223 1.9554867628245 9.95393676306693e-05 0.0788516558899195
-0.101516997975917 0.000955348505644572 0.000999972424143285 -0.0996812984031267 99.9935967879988 200.193810770515 1.00699601774728e-06 9.73532508056795e-08 1.09068862820822e-07 9.40143860304591e-07 101.0828528534 199.077834985222 0.917008846373126 1.96642500102568 0.000109598354620094 0.0778029777664085
-0.100938895468647 0.000991439471100923 0.000943866718007557 -0.099219492070962 101.717201917331 199.33742633098 1.14004593222227e-06 9.80006470138996e-08 9.99302225860717e-08 1.11042477167801e-06 97.0560213364595 203.265435808132 0.975204623246944 2.13530370722226 9.27868161764871e-05 0.0816944447103514
-0.0939803320892324 0.000972193243046945 0.00116813137767858 -0.0927805989318367 103.52451179565 197.761923995103 1.16080649260348e-06 1.0765221522526e-07 1.07625854185257e-07 1.09260428213221e-06 99.8563046066245 199.184778087917 1.07153870606248 1.95512621749991 0.000100271515562261 0.0810790685102681
-0.0946450616570582 0.00114407051036342 0.000942876628666954 -0.0923296880964504 104.375066769568 195.117523087296 1.157794890659e-06 1.1371423800404e-07 1.05194222682847e-07 1.06289627919e-06 103.316579966223 197.234679739849 0.914977528487419 2.20684821658417 9.42706379563427e-05 0.0825724739175076
-0.0934538497885906 0.000904232316828788 0.000990282550963848 -0.0925214505201601 106.97130068393 195.916678718805 1.10399798868338e-06 1.08001783508514e-07 9.43891203818288e-08 9.93397368545354e-07 104.433525230101 203.274583223636 1.08893067053935 1.94737444527388 0.000101907094283047 0.0818189844623352
-0.100921131267157 0.00100769077122403 0.000950131926968014 -0.0989869897683566 95.2130104747092 198.159058849578 1.08707120260556e-06 1.08539580536414e-07 1.06438505262474e-07 1.09655768568719e-06 107.978883397197 207.219509207596 0.928613228898158 2.01991741060593 0.00011258317629509 0.0792105270557148
-0.0961705101895234 0.00093012806578639 0.00120247247964115 -0.0951852418086428 96.8109882838384 199.764507794517 1.11100158385243e-06 9.84705962463602e-08 9.51577554669463e-08 9.77139334893939e-07 107.038178804212 201.16769853814 1.14193945028621 1.93787026882043 0.000105359271754373 0.0825859350843753
-0.0960798715432514 0.00096182301471989 0.00105742473043016 -0.0949482848719065 105.002406215842 197.731023958184 1.0132986181999e-06 1.06118957526049e-07 1.03329048246008e-07 1.07587123369642e-06 100.261366417635 200.37363337882 1.10901162711249 1.94099446100826 0.000110800995914029 0.0819978760611848
-0.0982632175103599 0.000970154997035665 0.00103749824435318 -0.0970244483857917 101.98498847935 199.405367266732 9.93979840675214e-07 1.1493052725753e-07 1.04915140952528e-07 9.47809476628035e-07 99.500235762254 197.750132251635 1.12462760976961 2.09289956706497 0.000102749967325629 0.0809075624879033
-0.0968432975549868 0.000960603907187476 0.000973250025496956 -0.0952256563207072 99.0357013268627 198.634872337666 1.15847328206602e-06 1.01408351686803e-07 1.06840512870597e-07 1.11414331774041e-06 100.07443883386 204.756101177811 0.952914947793797 2.1215245799172 0.000110100323152883 0.0806681662533408
-0.105934170889287 0.0010714754465494 0.000953819421127748 -0.104076781898838 103.131628313067 202.756529742939 1.09344119926401e-06 1.1050348142983e-07 1.02750676799624e-07 9.15775893884345e-07 97.6291511923112 197.088065565308 0.904446413808454 1.99442831221858 0.000107414491655888 0.0800509586948802
